index,State,GeoID,Trump,Biden,Other,Total,Winner,WnrPerc
0,Alabama,1,1434159,843473,32268,2309900,Trump,62.09
1,Alaska,2,189457,153551,13788,356796,Trump,53.1
2,Arizona,4,1661686,1672143,52016,3385845,Biden,49.39
3,Arkansas,5,759715,423503,34395,1217613,Trump,62.39
4,California,6,5934573,11019774,374966,17329313,Biden,63.59
5,Colorado,8,1364226,1803941,87941,3256108,Biden,55.4
6,Connecticut,9,715651,1080575,28600,1824826,Biden,59.22
7,Delaware,10,200603,296268,7139,504010,Biden,58.78
8,District of Columbia,11,18172,307265,8245,333682,Biden,92.08
9,Florida,12,5668731,5297045,101680,11067456,Trump,51.22
10,Georgia,13,2461837,2474507,62222,4998566,Biden,49.5
11,Hawaii,15,196864,366130,11475,574469,Biden,63.73
12,Idaho,16,554118,287021,26966,868105,Trump,63.83
13,Illinois,17,2809201,4223888,137111,7170200,Biden,58.91
14,Indiana,18,1729446,1241774,63868,3035088,Trump,56.98
15,Iowa,19,897467,758881,31962,1688310,Trump,53.16
16,Kansas,20,753370,551199,29761,1334330,Trump,56.46
17,Kentucky,21,1326646,772474,37648,2136768,Trump,62.09
18,Louisiana,22,1255776,856034,36252,2148062,Trump,58.46
19,Maine,23,342325,420588,24039,786952,Biden,53.45
20,Maryland,24,974476,1977535,54915,3006926,Biden,65.77
21,Massachusetts,25,1149614,2319420,80563,3549597,Biden,65.34
22,Michigan,26,2649852,2804039,90211,5544102,Biden,50.58
23,Minnesota,27,1483807,1716578,68323,3268708,Biden,52.52
24,Mississippi,28,756731,539494,19015,1315240,Trump,57.54
25,Missouri,29,1717685,1252371,58077,3028133,Trump,56.72
26,Montana,30,343602,244786,17362,605750,Trump,56.72
27,Nebraska,31,556331,374362,20697,951390,Trump,58.48
28,Nevada,32,669890,703486,32000,1405376,Biden,50.06
29,New Hampshire,33,365654,424921,13855,804430,Biden,52.82
30,New Jersey,34,1876252,2599245,75705,4551202,Biden,57.11
31,New Mexico,35,401848,501526,20455,923829,Biden,54.29
32,New York,36,2960070,4007900,105242,7073212,Biden,56.66
33,North Carolina,37,2758775,2684302,81736,5524813,Trump,49.93
34,North Dakota,38,235595,114902,11322,361819,Trump,65.11
35,Ohio,39,3150642,2677738,97426,5925806,Trump,53.17
36,Oklahoma,40,1020280,503890,36529,1560699,Trump,65.37
37,Oregon,41,966537,1346075,72829,2385441,Biden,56.43
38,Pennsylvania,42,3374143,3455610,85780,6915533,Biden,49.97
39,Rhode Island,44,199830,306192,7580,513602,Biden,59.62
40,South Carolina,45,1385103,1091541,36685,2513329,Trump,55.11
41,South Dakota,46,261043,150471,11095,422609,Trump,61.77
42,Tennessee,47,1849820,1139376,60318,3049514,Trump,60.66
43,Texas,48,5891778,5261055,171130,11323963,Trump,52.03
44,Utah,49,865140,560282,62274,1487696,Trump,58.15
45,Vermont,50,112704,242820,11904,367428,Biden,66.09
46,Virginia,51,1962430,2413568,84526,4460524,Biden,54.11
47,Washington,53,1581220,2365923,105913,4053056,Biden,58.37
48,West Virginia,54,545051,235847,13306,794204,Trump,68.63
49,Wisconsin,55,1610151,1630716,56567,3297434,Biden,49.45
50,Wyoming,56,193559,73491,9715,276765,Trump,69.94
